model,animation_id,phase_ordinal,activation_animation_s,deactivation_animation_s,response,status,calibrated,gameplay_validated,timeline_source_sha256,attack_param_ids,source_references
c1010,3033,0,0.966666639,1.100000024,unverified,extracted_unverified,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1010,3034,0,0.966666639,1.066666722,unverified,extracted_unverified,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1010,3035,0,1.000000000,1.366666675,unverified,extracted_unverified,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1010,3050,0,0.800000012,0.899999976,parry,classified_estimate,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1010,3051,0,0.566666663,0.633333325,unverified,extracted_unverified,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1010,3055,0,0.500000000,0.633333325,parry,classified_estimate,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1010,3056,0,0.533333361,0.600000024,unverified,extracted_unverified,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1010,3056,1,1.500000000,1.566666722,unverified,extracted_unverified,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1010,3071,0,0.666666687,0.733333349,unverified,extracted_unverified,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1010,3075,0,0.566666663,0.666666687,unverified,extracted_unverified,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1010,3075,1,1.600000024,1.666666627,unverified,extracted_unverified,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1010,3080,0,0.666666687,0.800000012,unverified,extracted_unverified,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1010,100003000,0,0.633333325,0.766666651,parry,classified_estimate,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1010,100003001,0,0.600000024,0.733333349,parry,classified_estimate,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1010,100003002,0,0.966666639,1.100000024,unverified,extracted_unverified,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1010,100003003,0,0.800000012,0.899999976,unverified,extracted_unverified,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1010,100003004,0,0.566666663,0.633333325,unverified,extracted_unverified,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1010,100003005,0,0.633333325,0.766666651,unverified,extracted_unverified,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1010,100003006,0,0.666666687,0.800000012,unverified,extracted_unverified,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1010,100003006,1,1.200000048,1.333333373,parry,classified_estimate,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1010,100003007,0,0.600000024,0.733333349,unverified,extracted_unverified,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1010,100003010,0,0.633333325,0.766666651,unverified,extracted_unverified,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1010,100003011,0,0.600000024,0.699999988,unverified,extracted_unverified,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1010,100003050,0,0.733333349,0.800000012,parry,classified_estimate,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1010,100003051,0,0.600000024,0.733333349,unverified,extracted_unverified,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1010,100003052,0,0.666666687,0.733333349,unverified,extracted_unverified,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1010,100003052,1,1.533333302,1.600000024,unverified,extracted_unverified,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1010,100003055,0,0.766666651,0.899999976,unverified,extracted_unverified,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1010,100003056,0,0.866666675,1.000000000,parry,classified_estimate,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1010,100003057,0,0.666666687,0.733333349,unverified,extracted_unverified,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1010,100003057,1,1.433333278,1.500000000,unverified,extracted_unverified,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1010,100003070,0,0.866666675,1.000000000,unverified,extracted_unverified,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1010,100003076,0,0.533333361,0.666666687,unverified,extracted_unverified,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1010,200003000,0,0.766666651,0.833333313,unverified,extracted_unverified,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1010,200003001,0,1.000000000,1.133333325,unverified,extracted_unverified,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1010,200003002,0,1.066666722,2.333333254,unverified,extracted_unverified,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1010,200003003,0,0.533333361,0.633333325,unverified,extracted_unverified,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1010,200003004,0,1.233333349,1.366666675,unverified,extracted_unverified,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1010,200003006,0,0.766666651,0.899999976,unverified,extracted_unverified,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1010,200003008,0,0.966666639,1.833333373,unverified,extracted_unverified,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1010,200003009,0,1.166666627,2.833333254,unverified,extracted_unverified,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1010,200003010,0,1.066666722,1.333333373,unverified,extracted_unverified,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1010,200003050,0,0.699999988,0.833333313,unverified,extracted_unverified,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1010,200003051,0,0.666666687,0.733333349,unverified,extracted_unverified,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1010,200003055,0,0.366666675,0.500000000,unverified,extracted_unverified,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1010,200003055,1,1.299999952,1.433333278,unverified,extracted_unverified,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1010,200003056,0,0.933333337,1.066666722,unverified,extracted_unverified,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1010,300003002,0,0.733333349,0.866666675,parry,classified_estimate,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1010,300003003,0,0.433333337,0.566666663,parry,classified_estimate,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1010,300003070,0,0.466666669,0.600000024,parry,classified_estimate,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1010,300003075,0,0.400000006,0.533333361,parry,classified_estimate,false,false,35c818a1e2e6f104fd797ef65a0fc957595abac36d54ce8e936cdd2484d4ae0e,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1020,3000,0,0.600000024,0.800000012,parry,classified_estimate,false,false,768b0235b8eb88a2b6504cc6383087824bfd98f5034217052360d4d63f1f18fb,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1020,3001,0,0.699999988,0.833333313,parry,classified_estimate,false,false,768b0235b8eb88a2b6504cc6383087824bfd98f5034217052360d4d63f1f18fb,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1020,3002,0,0.899999976,1.033333302,parry,classified_estimate,false,false,768b0235b8eb88a2b6504cc6383087824bfd98f5034217052360d4d63f1f18fb,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1020,3003,0,0.933333337,1.000000000,unverified,extracted_unverified,false,false,768b0235b8eb88a2b6504cc6383087824bfd98f5034217052360d4d63f1f18fb,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1020,3004,0,1.066666722,1.333333373,unverified,extracted_unverified,false,false,768b0235b8eb88a2b6504cc6383087824bfd98f5034217052360d4d63f1f18fb,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1020,3005,0,0.466666669,0.533333361,unverified,extracted_unverified,false,false,768b0235b8eb88a2b6504cc6383087824bfd98f5034217052360d4d63f1f18fb,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1020,3005,1,0.800000012,0.866666675,unverified,extracted_unverified,false,false,768b0235b8eb88a2b6504cc6383087824bfd98f5034217052360d4d63f1f18fb,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1020,3006,0,0.733333349,0.933333337,parry,classified_estimate,false,false,768b0235b8eb88a2b6504cc6383087824bfd98f5034217052360d4d63f1f18fb,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1020,3006,1,1.633333325,1.833333373,parry,classified_estimate,false,false,768b0235b8eb88a2b6504cc6383087824bfd98f5034217052360d4d63f1f18fb,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1020,3007,0,1.533333302,1.666666627,unverified,extracted_unverified,false,false,768b0235b8eb88a2b6504cc6383087824bfd98f5034217052360d4d63f1f18fb,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1020,3008,0,0.500000000,0.566666663,parry,classified_estimate,false,false,768b0235b8eb88a2b6504cc6383087824bfd98f5034217052360d4d63f1f18fb,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1020,3009,0,0.533333361,0.666666687,parry,classified_estimate,false,false,768b0235b8eb88a2b6504cc6383087824bfd98f5034217052360d4d63f1f18fb,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1020,3010,0,1.100000024,1.233333349,unverified,extracted_unverified,false,false,768b0235b8eb88a2b6504cc6383087824bfd98f5034217052360d4d63f1f18fb,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1020,3012,0,1.133333325,1.266666651,dodge,classified_estimate,false,false,768b0235b8eb88a2b6504cc6383087824bfd98f5034217052360d4d63f1f18fb,10200220,src/attack_timings.rs;docs/enemy-coverage.json;docs/response-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1020,3015,0,0.466666669,0.600000024,unverified,extracted_unverified,false,false,768b0235b8eb88a2b6504cc6383087824bfd98f5034217052360d4d63f1f18fb,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1020,3051,0,0.266666681,0.400000006,parry,classified_estimate,false,false,768b0235b8eb88a2b6504cc6383087824bfd98f5034217052360d4d63f1f18fb,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1020,3054,0,0.233333334,0.366666675,parry,classified_estimate,false,false,768b0235b8eb88a2b6504cc6383087824bfd98f5034217052360d4d63f1f18fb,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1020,3054,1,0.666666687,0.800000012,parry,classified_estimate,false,false,768b0235b8eb88a2b6504cc6383087824bfd98f5034217052360d4d63f1f18fb,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1020,3054,2,1.233333349,1.366666675,parry,classified_estimate,false,false,768b0235b8eb88a2b6504cc6383087824bfd98f5034217052360d4d63f1f18fb,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1020,3056,0,0.233333334,0.366666675,parry,classified_estimate,false,false,768b0235b8eb88a2b6504cc6383087824bfd98f5034217052360d4d63f1f18fb,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1020,3057,0,0.566666663,0.633333325,parry,classified_estimate,false,false,768b0235b8eb88a2b6504cc6383087824bfd98f5034217052360d4d63f1f18fb,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1020,3057,1,1.233333349,1.366666675,parry,classified_estimate,false,false,768b0235b8eb88a2b6504cc6383087824bfd98f5034217052360d4d63f1f18fb,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1020,3060,0,0.433333337,0.566666663,parry,classified_estimate,false,false,768b0235b8eb88a2b6504cc6383087824bfd98f5034217052360d4d63f1f18fb,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1020,3061,0,0.433333337,0.566666663,unverified,extracted_unverified,false,false,768b0235b8eb88a2b6504cc6383087824bfd98f5034217052360d4d63f1f18fb,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
c1020,3062,0,0.633333325,0.766666651,unverified,extracted_unverified,false,false,768b0235b8eb88a2b6504cc6383087824bfd98f5034217052360d4d63f1f18fb,,src/attack_timings.rs;docs/enemy-coverage.json;scripts/generate-attack-timings.py;scripts/attack_responses.py
